name,building_name,floor,room,category,description
혈액병원임상연구지원실,대학본관,B1F,,,
회의실,대학본관,2F,,공용,
회의실,대학본관,5F,,공용,
회의실(학교),대학본관,2F,,공용,
회의실116,대학본관,1F,,,
회의실117,대학본관,1F,,,
회의실118,대학본관,1F,,,
회의실5,대학본관,1F,,,
회의실509,대학본관,5F,,공용,
회의실510,대학본관,5F,,공용,
휴게실,대학본관,2F,,편의,
MT CARE사무실,병원별관,B2F,,외부,엠티케어
PI팀,병원별관,2F,,행정,
가정간호센터,병원별관,2F,,의료,
간호기숙사,병원별관,3F,,시설,올리브관
간호행정교육팀,병원별관,2F,,행정,간호부
감염관리팀,병원별관,2F,,행정,
강의실205,병원별관,2F,,교육,
교수연구실,병원별관,5F,,연구,
교수연구실(6F),병원별관,6F,,연구,
교수연구실(7F),병원별관,7F,,연구,
교수연구실(8F),병원별관,8F,,연구,
국제협력팀,병원별관,1F,,행정,
금호건설사무실,병원별관,B2F,,외부,
기자실,병원별관,1F,,시설,
기획조정실장실,병원별관,3F,,행정,
나프로임신센터,병원별관,1F,,의료,
노사협력팀,병원별관,3F,,행정,
대건사무실,병원별관,B2F,,외부,
대인자동차사무실,병원별관,B2F,,외부,
대학원강의실1201,병원별관,1F,,교육,
대학원강의실1202,병원별관,1F,,교육,
대학원강의실1203,병원별관,1F,,교육,
대학원강의실1204,병원별관,1F,,교육,
대학원강의실1205,병원별관,1F,,교육,
대학원강의실1206,병원별관,1F,,교육,
데이터중심병원사무국,병원별관,2F,,행정,총괄
데이터중심병원지원본부,병원별관,B2F,,행정,
동아리방,병원별관,B1F,,편의,
동아리방,병원별관,1F,,편의,
디지털병리A1연구소,병원별관,B2F,,연구,
라온시뮬레이션센터,병원별관,1F,,교육,
메디컬엑설런스,병원별관,4F,,교육,
면역질환연구소,병원별관,8F,,연구,구 연구소
모니터링실,병원별관,9F,,연구,
바이오코어센터,병원별관,7F,,연구,퍼실리티
발전기금팀,병원별관,1F,,행정,
방사선종양학과,병원별관,B1F,,의료,
베올리아산업개발,병원별관,B2F,,외부,
병원경영실장실,병원별관,3F,,행정,
병원홍보팀,병원별관,1F,,행정,
사무차장실,병원별관,3F,,행정,
사이버나이프센터,병원별관,B1F,,치료,
사제관,병원별관,3F,,시설,비안네관
설비Unit,병원별관,B2F,,시설,
성의교정행정사무실,병원별관,1F,,행정,총무/재무/구매/교학/교무
성의기획팀,병원별관,1F,,행정,
세포사멸질환연구센터,병원별관,2F,,연구,
수납,병원별관,1F,,행정,
수녀원,병원별관,3F,,시설,
수련교육팀,병원별관,1F,,행정,
수련교육팀,병원별관,4F,,행정,
스마트헬스케어,병원별관,2F,,연구,
안전상황실,병원별관,1F,,시설,
알레르기치료실,병원별관,2F,,치료,
암연구소,병원별관,10F,,연구,
암진화연구센터,병원별관,2F,,연구,
어린이집,병원별관,2F,,편의,
