name,campus,building,floor,category,description,hours
종양내과병동,성의교정,서울성모병원,16,병동,,
종양내과병동,성의교정,서울성모병원,16,병동,,
주차관제실,성의교정,서울성모병원,-3,6000,시설,
주차등록,성의교정,서울성모병원,21,안내,21층 근무자,
주차안내데스크,성의교정,서울성모병원,-1,,시설,
중앙공급실,성의교정,서울성모병원,-2,,시설,
중재신장클리닉,성의교정,서울성모병원,1,,진료,
중증등록,성의교정,서울성모병원,3,원무,,
중증응급실,성의교정,서울성모병원,1,,진료,
중환자실,성의교정,서울성모병원,5,의료,,
중환자외상외과,성의교정,서울성모병원,1,,진료,
중환자외상외과병동,성의교정,서울성모병원,15,병동,15-1,
지하주차장,성의교정,서울성모병원,-5,,시설,
지하주차장,성의교정,서울성모병원,-4,,시설,
지하주차장,성의교정,서울성모병원,-3,,시설,
지하주차장,성의교정,서울성모병원,-2,,시설,
직원휴게실,성의교정,서울성모병원,5,편의,,
직장항문초음파,성의교정,서울성모병원,1,,검사,
진단검사의학과,성의교정,서울성모병원,4,진료,,
진료협력사무실,성의교정,서울성모병원,-1,,사무,
진료협력센터,성의교정,서울성모병원,1,원무,회송/전원/상담,평일 08:00~17:00
채혈실,성의교정,서울성모병원,1,,검사,
척추센터,성의교정,서울성모병원,2,진료,,
청력검사실,성의교정,서울성모병원,3,검사,,
체성분검사,성의교정,서울성모병원,1,,검사,
체외충격파쇄석실,성의교정,서울성모병원,4,치료,,
체지방검사,성의교정,서울성모병원,1,,검사,
초음파실,성의교정,서울성모병원,2,검사,SONO,08:00~17:00
초진접수,성의교정,서울성모병원,1,원무,당일예약 가능,평일 08:00~17:30 / 토 08:00~14:00
출입제한구역,성의교정,서울성모병원,21,안내,일반인 출입 제한,
치과,성의교정,서울성모병원,4,진료,,
치과병동,성의교정,서울성모병원,8,병동,08-02,
치과의국,성의교정,서울성모병원,14,사무,,
치주과,성의교정,서울성모병원,4,진료,,
퀴즈노스,성의교정,서울성모병원,-1,,상업,
키오스크,성의교정,서울성모병원,1,편의,수납/증명서/식단,상시 이용
키오스크,성의교정,서울성모병원,2,편의,CD등록/병원안내,
타액선검사,성의교정,서울성모병원,-1,,검사,
태동검사실,성의교정,서울성모병원,3,검사,,
태아정밀초음파,성의교정,서울성모병원,3,검사,,
테라노틱스클리닉,성의교정,서울성모병원,-1,,진료,
통신UNIT,성의교정,서울성모병원,6,시설,,
통원수술실,성의교정,서울성모병원,5,의료,DSC,
통원주사실,성의교정,서울성모병원,6,의료,케모포트,
통증센터,성의교정,서울성모병원,3,진료,마취통증의학과,
투시촬영실,성의교정,서울성모병원,2,검사,,
특수뇌파검사,성의교정,서울성모병원,3,검사,,
특실,성의교정,서울성모병원,21,병동,,
팜플렛요청,성의교정,서울성모병원,1,안내,초진창구 문의,
평생건강증진센터,성의교정,서울성모병원,4,진료,,
평형검사실,성의교정,서울성모병원,3,검사,,
폐기능검사,성의교정,서울성모병원,3,검사,,
폐기물처리장,성의교정,서울성모병원,-2,,시설,
